id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated,Display Name
26555,VIDP,large_airport,Indira Gandhi International Airport,28.55563,77.09519,777.0,AS,India,IN,Delhi (National Capital Territory),IN-DL,DL,New Delhi,1,VIDP,DEL,,http://www.newdelhiairport.in/,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,Palam Air Force Station,51475,2022-02-11T17:31:57+00:00,"Indira Gandhi International Airport, New Delhi"
26434,VABB,large_airport,Chhatrapati Shivaji International Airport,19.0886993408,72.8678970337,39.0,AS,India,IN,Maharashtra,IN-MM,MM,Mumbai,1,VABB,BOM,,http://www.csia.in/,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport,"Bombay, Sahar International Airport",1014475,2013-04-12T01:27:48+00:00,"Chhatrapati Shivaji International Airport, Mumbai"
35145,VOBL,large_airport,Kempegowda International Airport,13.1979,77.706299,3000.0,AS,India,IN,Karnataka,IN-KA,KA,Bangalore,1,VOBL,BLR,,http://www.bengaluruairport.com/home/home.jspx,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,,51200,2016-02-01T17:54:36+00:00,"Kempegowda International Airport, Bangalore"
35141,VOHS,large_airport,Rajiv Gandhi International Airport,17.231318,78.429855,2024.0,AS,India,IN,Telangana,IN-TG,TG,Hyderabad,1,VOHS,HYD,,http://www.hyderabad.aero/,https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,"Shamshabad, Hyderabad",1200,2022-09-09T12:25:05+00:00,"Rajiv Gandhi International Airport, Hyderabad"
26618,VOMM,large_airport,Chennai International Airport,12.990005,80.169296,52.0,AS,India,IN,Tamil Nadu,IN-TN,TN,Chennai,1,VOMM,MAA,,,https://en.wikipedia.org/wiki/Chennai_International_Airport,Madras,51150,2022-09-09T12:28:58+00:00,"Chennai International Airport, Chennai"
26496,VECC,large_airport,Netaji Subhash Chandra Bose International Airport,22.654699325561523,88.44670104980469,16.0,AS,India,IN,West Bengal,IN-WB,WB,Kolkata,1,VECC,CCU,,,https://en.wikipedia.org/wiki/Netaji_Subhash_Chandra_Bose_International_Airport,"Calcutta, Kolkatta, Dum Dum Air Force Station",1200,2008-06-13T14:30:04+00:00,"Netaji Subhash Chandra Bose International Airport, Kolkata"
26431,VAAH,medium_airport,Sardar Vallabhbhai Patel International Airport,23.0771999359,72.63469696039999,189.0,AS,India,IN,Gujarat,IN-GJ,GJ,Ahmedabad,1,VAAH,AMD,,,https://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport,Gandhinagar Air Force Station,750,2010-08-30T13:18:43+00:00,"Sardar Vallabhbhai Patel International Airport, Ahmedabad"
26609,VOCI,large_airport,Cochin International Airport,10.152,76.401901,30.0,AS,India,IN,Kerala,IN-KL,KL,Kochi,1,VOCI,COK,,http://www.cial.aero/,https://en.wikipedia.org/wiki/Cochin_International_Airport,Cochin,1000,2020-10-21T13:52:37+00:00,"Cochin International Airport, Kochi"
26444,VAGO,large_airport,Dabolim Airport,15.3808,73.831398,150.0,AS,India,IN,Goa,IN-GA,GA,Vasco da Gama,1,VOGO,GOI,,,https://en.wikipedia.org/wiki/Dabolim_Airport,"Goa Airport, Dabolim Navy Airbase, दाबोळी विमानतळ",1000,2022-10-13T15:12:26+00:00,"Dabolim Airport, Vasco da Gama"
26455,VAPO,medium_airport,Pune Airport / Lohagaon Air Force Station,18.5821,73.919701,1942.0,AS,India,IN,Maharashtra,IN-MM,MM,Pune,1,VAPO,PNQ,,,https://en.wikipedia.org/wiki/Pune_Airport,"Lohegaon Airport, Lohegaon Air Force Station",750,2021-10-15T17:29:52+00:00,"Pune Airport / Lohagaon Air Force Station, Pune"
26570,VILK,medium_airport,Chaudhary Charan Singh International Airport,26.7605991364,80.8892974854,410.0,AS,India,IN,Uttar Pradesh,IN-UP,UP,Lucknow,1,VILK,LKO,,http://aai.aero/allAirports/lucknow_generalinfo.jsp,https://en.wikipedia.org/wiki/Amausi_Airport,Amausi International Airport,750,2010-09-08T18:00:49+00:00,"Chaudhary Charan Singh International Airport, Lucknow"
26501,VEGT,medium_airport,Lokpriya Gopinath Bordoloi International Airport,26.10610008239746,91.58589935302734,162.0,AS,India,IN,Assam,IN-AS,AS,Guwahati,1,VEGT,GAU,,http://aai.aero/guwahati/index.jsp,https://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport,"Borjhar Airport, Mountain Shadow Air Force Station",750,2008-06-13T14:30:04+00:00,"Lokpriya Gopinath Bordoloi International Airport, Guwahati"
26563,VIJP,medium_airport,Jaipur International Airport,26.8242,75.812202,1263.0,AS,India,IN,Rajasthan,IN-RJ,RJ,Jaipur,1,VIJP,JAI,,https://www.jaipurairport.com/,https://en.wikipedia.org/wiki/Jaipur_International_Airport,,750,2018-09-15T03:40:23+00:00,"Jaipur International Airport, Jaipur"
26578,VISR,medium_airport,Sheikh ul Alam International Airport,33.987099,74.7742,5429.0,AS,India,IN,Jammu and Kashmir,IN-JK,JK,Srinagar,1,VISR,SXR,,,https://en.wikipedia.org/wiki/Srinagar_Airport,Srinagar Air Force Station,750,2022-02-11T17:19:10+00:00,"Sheikh ul Alam International Airport, Srinagar"
26517,VEPT,medium_airport,Jay Prakash Narayan Airport,25.591299,85.087997,170.0,AS,India,IN,Bihar,IN-BR,BR,Patna,1,VEPT,PAT,,http://airportsindia.org.in/allAirports/patna_techinfo.jsp,https://en.wikipedia.org/wiki/Jay_Prakash_Narayan_Airport,Lok Nayah Jayprakash,750,2022-09-09T16:01:59+00:00,"Jay Prakash Narayan Airport, Patna"
26550,VICG,medium_airport,Chandigarh International Airport,30.6735,76.788498,1012.0,AS,India,IN,Chandigarh,IN-CH,CH,Chandigarh,1,VICG,IXC,,,https://en.wikipedia.org/wiki/Chandigarh_Airport,Chandigarh Air Force Station,750,2022-02-11T15:41:05+00:00,"Chandigarh International Airport, Chandigarh"
26494,VEBS,medium_airport,Biju Patnaik Airport,20.2444000244,85.8178024292,138.0,AS,India,IN,Odisha,IN-OR,OR,Bhubaneswar,1,VEBS,BBI,,http://aai.aero/allAirports/bhubaneshwar_generalinfo.jsp,https://en.wikipedia.org/wiki/Biju_Patnaik_Airport,,750,2010-09-07T17:37:14+00:00,"Biju Patnaik Airport, Bhubaneswar"
26629,VOTV,large_airport,Trivandrum International Airport,8.48211956024,76.9200973511,15.0,AS,India,IN,Kerala,IN-KL,KL,Thiruvananthapuram,1,VOTV,TRV,,,https://en.wikipedia.org/wiki/Trivandrum_International_Airport,"Thiruvananthapuram International Airport, Trivandrum Air Force Station",1050,2015-06-07T09:22:17+00:00,"Trivandrum International Airport, Thiruvananthapuram"
26610,VOCL,medium_airport,Calicut International Airport,11.1368,75.955299,342.0,AS,India,IN,Kerala,IN-KL,KL,Calicut,1,VOCL,CCJ,,,https://en.wikipedia.org/wiki/Calicut_International_Airport,,750,2021-11-22T14:12:06+00:00,"Calicut International Airport, Calicut"
26491,VEBD,medium_airport,Bagdogra Airport,26.68120002746582,88.32859802246094,412.0,AS,India,IN,West Bengal,IN-WB,WB,Siliguri,1,VEBD,IXB,,http://aai.aero/allAirports/bagdogra_generalinfo.jsp,https://en.wikipedia.org/wiki/Bagdogra_Airport,Bagdogra Air Force Station,750,2008-06-13T14:30:04+00:00,"Bagdogra Airport, Siliguri"
